MovieID,Title,Genre,ReleaseYear,Rating,Language,RentalRate
1,Important commercial politics,Comedy,2012,R,English,7.63
2,Anyone day party,Sci-Fi,2010,NC-17,Japanese,6.29
3,Ready,Thriller,2009,R,French,3.69
4,Quite,Sci-Fi,1983,PG-13,English,8.22
5,Better paper,Horror,2019,PG,Korean,5.4
6,Reflect toward power,Sci-Fi,2018,G,Mandarin,2.34
7,Statement ground,Sci-Fi,1997,R,French,8.12
8,Game buy box,Drama,2023,NC-17,French,4.48
9,Special for view course,Thriller,2001,PG-13,Japanese,4.28
10,Yet amount,Crime,2005,PG-13,Spanish,6.76
11,Water do,Horror,1990,PG-13,Korean,7.16
12,Often real,Action,1998,NC-17,French,2.12
13,Window available enough stage,Comedy,1989,PG,French,2.27
14,Themselves office,Sci-Fi,2021,PG-13,Japanese,9.05
15,Trouble member,Drama,2016,R,Mandarin,8.1
16,Fact animal,Drama,2013,NC-17,Japanese,8.06
17,Send rule,Horror,1996,R,Mandarin,8.06
18,Suggest,Action,2014,NC-17,Korean,7.79
19,Former catch,Sci-Fi,1988,PG,French,7.88
20,American contain oil,Thriller,2015,NC-17,Korean,8.42
21,Offer benefit,Thriller,1989,R,Japanese,7.61
22,Third officer,Action,2009,PG-13,French,8.2
23,Pull teach spring,Action,2006,R,Korean,8.78
24,Various idea,Action,2005,PG,Mandarin,9.31
25,Already edge song,Sci-Fi,1980,PG,Mandarin,9.33
26,Ten themselves,Sci-Fi,1985,G,Spanish,5.68
27,Trip area expect,Action,1980,G,English,9.8
28,Continue although,Thriller,2017,R,Japanese,5.95
29,Fund anything part,Comedy,1992,NC-17,Japanese,2.02
30,Daughter between try,Horror,1985,PG-13,Mandarin,4.49
31,Cut everything,Comedy,1983,R,French,8.09
32,Teach firm,Thriller,1981,R,Korean,9.58
33,Yet bar prove,Sci-Fi,1994,PG-13,English,6.29
34,Rate three which,Sci-Fi,1990,PG,Japanese,7.95
35,Happen address style allow,Thriller,2012,PG-13,German,9.0
36,Travel care,Crime,2000,G,Spanish,6.39
37,Your nearly,Action,1998,R,Mandarin,7.41
38,Ball approach statement,Crime,2006,NC-17,English,4.43
39,Chance about,Action,2013,G,Japanese,8.12
40,Moment purpose although,Sci-Fi,2022,NC-17,Japanese,7.02
41,Although country must,Action,2017,G,Korean,2.14
42,Subject go might,Sci-Fi,1986,NC-17,Spanish,7.19
43,Always international,Horror,2012,R,English,9.69
44,Though,Comedy,1988,R,French,4.24
45,Instead institution,Drama,1982,PG-13,English,3.0
46,Role growth low,Thriller,1999,NC-17,Mandarin,4.09
47,Foot me,Thriller,2011,PG,Japanese,5.98
48,Ability police public,Action,2022,PG,Mandarin,3.58
49,Travel exist son,Horror,2006,PG-13,Japanese,8.62
50,Stock believe,Sci-Fi,2010,PG,French,5.28
